velx,vely,velz,posx,posy,posz
14.506,-65.059,11.839,-7.298,-0.656,0.218
-6.488,-66.808,-3.178,-8.599,0.324,-0.434
-27.144,-51.535,-15.034,-6.364,3.346,-0.879
-57.988,18.494,-0.165,5.571,16.276,-0.686
35.422,60.560,-2.835,4.551,-3.082,0.479
-27.926,68.410,9.579,5.101,2.393,0.297
-29.432,61.968,-5.521,4.136,1.405,-0.549
-65.592,4.151,5.625,0.869,13.034,0.330
-42.368,52.086,-16.736,7.453,6.525,0.237
-13.099,6.881,57.910,0.249,-0.218,-0.102
60.208,4.922,-8.116,-0.311,-2.600,0.195
11.885,49.445,-10.251,2.634,-1.996,-0.837
0.209,-63.728,-3.926,-16.131,0.025,0.413
-32.602,-66.343,-2.664,-7.940,3.004,-0.447
31.161,54.121,0.012,13.644,-8.597,0.006
1.836,-75.311,-15.432,-6.256,0.702,-0.257
-18.665,-67.068,-3.818,-4.987,0.519,0.442
-64.510,-25.856,4.953,-3.766,10.273,-0.622
-26.793,-62.566,5.561,-3.670,-0.015,-0.014
-15.011,-61.286,1.677,-15.679,3.209,-0.801
3.762,55.048,9.971,5.619,-0.686,0.120
22.608,53.944,10.012,3.595,-0.450,0.254
12.329,-66.720,3.286,-11.013,-2.039,0.845
-52.101,-29.890,-6.161,-3.852,5.682,-0.333
-64.666,-28.363,16.905,-2.162,1.654,-0.698
29.969,62.051,-14.773,6.965,-2.860,-0.135
-4.694,-63.451,0.171,-10.284,0.548,0.069
-16.421,-56.613,7.504,-2.124,1.257,0.826
-66.179,-0.566,-4.352,0.099,9.971,0.311
-43.679,25.887,-4.314,1.269,2.463,0.075
-29.898,-10.427,12.467,0.729,0.382,0.211
15.584,-67.810,-1.392,-7.290,-0.557,-0.148
68.478,-15.066,-0.949,-1.080,-8.904,-0.907
37.065,52.290,1.332,12.398,-8.284,0.136
-53.166,26.349,10.915,1.983,6.338,-0.558
33.588,59.006,-0.416,8.467,-6.288,-0.886
70.781,3.458,-13.893,0.489,-5.211,0.083
-69.368,-14.665,4.982,-1.691,6.646,-0.113
15.418,-72.083,-1.845,-10.550,-2.553,-0.067
71.387,19.337,-38.229,1.178,-2.109,-0.045
-55.197,-42.178,-4.967,-6.049,7.418,-0.669
-69.084,-9.151,10.195,-1.695,11.301,0.210
12.509,66.481,-7.015,2.665,-0.611,-0.817
19.880,-62.399,7.093,-6.085,-1.898,-0.014
-60.952,-32.562,0.280,-5.717,10.960,0.157
17.511,-4.538,30.815,0.413,-0.093,0.287
43.426,-30.376,-5.335,-2.147,-2.296,0.162
52.196,-38.015,-6.935,-3.922,-6.674,-1.614
