velx,vely,velz,posx,posy,posz
-212.280,3.190,9.717,-0.131,8.098,-0.200
-138.240,178.584,19.477,5.331,3.170,0.396
56.568,209.001,5.230,11.079,-3.258,0.008
-11.954,-207.025,-10.986,-7.385,-0.531,0.199
-142.563,-96.596,-63.229,-2.436,3.525,-0.327
-184.455,-146.384,7.551,-1.853,3.492,0.098
-207.362,32.563,37.051,1.643,6.541,-0.490
-126.924,185.409,18.909,6.728,4.684,-0.205
-170.531,142.610,26.782,4.104,5.455,-0.243
-210.508,102.529,10.921,2.105,4.070,0.655
-168.158,21.844,-42.628,0.999,2.621,0.123
-129.110,157.484,-23.440,3.672,3.705,0.123
-117.683,127.285,15.301,3.130,1.385,0.320
80.587,203.528,-5.905,8.201,-3.761,-0.182
-142.674,168.661,-29.110,8.871,7.401,-0.190
67.520,-137.876,-4.590,-2.686,-1.015,-0.002
-203.816,30.351,15.241,0.998,2.030,-0.033
5.983,181.362,23.054,2.353,-0.834,0.381
26.709,-75.748,-5.819,-2.584,-0.745,-0.085
197.442,63.544,21.269,1.379,-4.001,-0.145
169.423,-125.467,30.786,-3.360,-4.183,0.327
93.564,-210.802,2.945,-10.699,-4.040,0.083
-220.874,-27.722,-4.025,-1.261,9.670,-0.585
21.764,-135.468,17.774,-2.936,-0.363,-0.290
14.390,-23.881,-12.448,-0.395,-0.216,0.137
140.115,-139.033,51.461,-1.616,-2.022,-0.034
171.537,-57.860,-15.470,-1.039,-3.895,0.144
-220.859,25.561,2.506,2.233,18.117,0.173
-13.634,-232.389,2.621,-15.749,0.930,0.023
-233.493,87.215,-19.902,2.804,7.048,-0.253
44.340,-219.225,4.754,-5.565,-1.299,-0.131
-36.327,-122.530,43.212,-1.962,0.145,-0.071
-183.966,-160.055,2.250,-4.266,5.296,-0.266
73.562,24.052,22.066,1.041,0.050,-0.191
-140.530,-184.361,-13.100,-3.106,3.087,0.444
-160.711,-76.340,43.797,-1.538,2.432,-0.039
-69.384,-169.162,4.584,-6.235,2.469,0.075
-230.421,28.153,-27.827,0.386,6.701,-0.763
-162.795,156.548,6.424,12.341,12.419,-0.351
221.186,78.116,0.732,4.421,-11.270,0.072
-31.093,119.729,7.249,2.882,1.424,0.397
-221.354,-50.731,-15.573,-1.943,8.825,0.167
108.697,-96.908,-24.333,-0.398,-0.922,-0.286
39.593,-101.534,-61.054,-0.922,-0.245,-0.241
-11.852,234.984,-35.618,1.915,-1.006,0.310
-124.926,29.522,-25.409,-0.468,1.193,0.210
87.595,198.965,-29.306,6.445,-3.397,0.061
199.164,-75.259,24.608,-2.604,-5.925,0.055
110.913,219.773,13.398,8.192,-4.655,0.242
