velx,vely,velz,posx,posy,posz
-104.812,56.181,-17.043,-0.147,1.605,0.380
123.598,77.012,-8.383,4.743,-7.228,-0.303
-138.456,35.828,68.568,0.758,1.680,0.096
-125.291,11.369,-1.781,0.482,3.894,-0.111
97.990,21.825,21.456,1.201,-1.524,-0.161
70.646,110.669,-11.806,2.828,-1.919,-0.166
-121.827,25.543,-4.206,0.584,5.903,0.141
-104.524,71.997,-28.416,1.057,2.888,0.299
61.923,-12.350,-44.822,-0.423,-1.142,-0.085
99.917,78.572,23.180,0.223,-1.930,-0.214
-36.253,-100.437,-34.047,-2.249,0.817,-0.187
119.500,-86.122,34.734,-1.164,-1.658,-0.121
-6.311,131.241,0.126,10.716,0.650,0.460
-63.659,-118.371,6.058,-4.522,1.810,0.335
34.268,-42.677,-23.985,0.116,-0.167,0.018
-71.005,-49.772,-11.303,-0.382,0.262,-0.188
22.731,-36.036,-90.594,-0.602,0.221,-0.259
-83.056,-91.277,-5.311,-1.195,0.203,-0.028
-14.058,-55.724,35.492,-0.372,0.097,-0.194
-139.129,-12.740,-21.808,0.251,3.976,-0.079
128.110,35.642,-3.595,-0.258,-1.886,0.126
10.641,-126.731,6.237,-5.731,0.591,0.130
-126.217,40.004,-12.498,1.522,7.041,0.453
88.690,42.844,-12.280,1.147,-1.007,-0.259
-40.884,6.101,35.746,0.114,1.284,0.066
22.577,72.082,-41.162,1.307,-1.043,0.139
8.679,-135.795,0.253,-11.250,-0.696,-0.047
3.687,38.200,-65.501,0.952,-0.429,0.030
57.753,55.467,8.932,0.601,-0.468,0.151
-57.828,-65.431,32.287,-0.935,0.519,-0.269
134.737,66.093,-11.849,1.524,-2.130,0.293
-59.332,6.469,15.543,-0.114,1.808,0.114
39.479,91.913,-19.825,0.893,-0.213,0.232
118.462,43.675,2.322,3.738,-10.508,-0.310
-76.943,102.487,22.348,2.567,2.647,0.158
-54.294,-117.457,-22.387,-5.197,2.089,-0.226
-75.125,49.970,12.273,1.222,2.143,0.294
-71.523,-123.431,34.621,-0.139,0.845,-0.776
6.282,184.749,-39.485,2.630,0.148,0.112
-14.622,-65.111,-107.789,-0.946,-1.029,0.033
131.917,-36.334,0.047,-1.480,-5.655,0.074
-126.284,12.968,-22.913,-0.031,2.793,-0.135
56.641,123.432,-1.982,6.784,-3.577,-0.272
-26.806,-129.701,1.374,-8.435,1.423,-0.075
83.864,-19.204,34.425,-0.701,-0.706,0.451
162.470,56.990,17.642,0.699,-3.622,0.082
-38.797,45.454,-3.102,0.468,0.904,0.480
-4.482,-79.153,11.144,-0.911,0.317,-0.075
-37.860,127.137,-22.927,1.815,0.245,0.020
-71.321,17.132,17.448,0.141,0.739,-0.213
113.208,-70.969,-4.636,-3.816,-6.630,-0.102
-56.219,-8.761,-79.384,0.031,0.621,-0.219
110.103,-69.102,-0.851,-9.032,-14.418,-0.028
107.838,-81.591,-0.635,-2.079,-3.140,0.544
127.322,-24.799,-0.163,-0.164,-2.969,-0.051
73.956,-122.924,-4.942,-5.998,-4.742,0.044
-70.156,-99.494,-2.555,-3.702,1.928,-0.608
61.717,-132.725,-8.096,-5.612,-2.236,0.242
103.866,-94.645,8.262,-1.875,-1.810,0.512
-118.025,65.077,32.582,2.308,5.052,0.108
-99.681,104.064,0.388,3.483,3.387,-0.012
-125.599,61.279,22.217,1.991,4.053,0.079
-19.686,132.801,-24.221,2.578,-0.267,-0.251
71.458,13.018,-3.842,0.680,-1.238,0.100
-131.651,32.997,6.840,1.601,3.907,-0.514
-127.725,17.965,5.845,2.311,3.894,0.075
-63.368,69.211,-89.197,0.158,0.155,0.050
56.560,89.623,-13.217,1.145,-0.396,0.021
0.313,42.149,-34.086,-0.092,-0.366,0.217
108.790,134.761,-41.214,1.880,-0.480,-0.440
-120.455,-10.253,0.764,-0.096,2.626,-0.319
-134.611,-16.954,-7.638,-0.100,1.009,-0.800
-121.861,-89.300,1.785,-1.336,1.766,0.229
-104.125,-58.935,5.139,-1.993,1.628,0.153
-53.442,23.293,-9.914,-0.200,0.127,0.293
69.939,-63.367,-26.993,-0.842,-1.105,0.196
92.528,-113.507,30.759,-1.648,-1.530,-0.181
-19.539,139.822,-9.864,5.271,0.703,-0.149
-40.600,-86.717,-7.895,-1.218,0.391,0.152
-104.487,-82.965,17.351,-4.949,6.386,0.170
-20.867,151.381,-13.771,3.311,-0.178,0.202
3.618,27.069,0.144,-0.026,-0.324,0.404
105.279,15.317,41.211,-0.392,-1.326,0.213
-108.718,-75.348,1.039,-3.670,6.585,0.288
-22.706,-43.404,78.908,-0.945,0.452,0.043
-55.899,89.387,11.487,1.644,0.800,0.024
124.106,-19.973,-5.448,-1.706,-5.764,0.324
49.641,108.148,-4.946,3.110,-1.172,0.132
108.671,-25.912,2.141,-0.494,-3.789,-0.629
123.348,2.711,19.233,0.265,-2.476,-0.255
23.370,-62.227,-90.286,-1.898,-0.553,-0.132
138.349,-17.247,-9.802,-0.752,-6.204,0.085
-134.771,-11.571,12.059,-0.131,5.975,-0.531
-6.474,96.403,-15.829,1.002,0.485,-0.080
-50.773,-99.437,-11.430,-1.015,1.339,-0.162
80.695,-62.773,-13.747,-1.438,-1.756,0.406
-42.718,-123.361,6.089,-1.622,-0.150,0.152
-135.447,-17.910,31.004,-0.639,2.954,-0.141
3.281,-88.795,17.873,-0.599,0.652,-0.239
-29.106,89.175,-56.945,0.023,0.515,-0.181
-100.698,78.350,-9.786,2.178,2.320,0.288
84.658,78.431,2.757,1.224,0.194,-0.428
-119.510,79.303,55.388,2.120,2.559,0.206
-32.702,-112.863,86.704,-1.720,0.675,-0.170
64.439,-120.085,-2.171,-1.675,-1.914,0.283
73.487,-39.207,27.163,0.049,-1.195,0.290
-95.949,-28.655,23.230,-1.087,1.791,-0.498
-119.242,25.690,3.051,0.470,0.827,-0.012
110.086,-88.744,8.200,-2.405,-4.043,-0.101
-13.765,131.528,-12.066,5.601,1.167,-0.507
115.890,-73.576,-16.016,-3.143,-5.619,-0.386
115.259,-72.711,-35.086,-1.089,-0.546,-0.188
17.407,88.340,-27.744,1.103,-0.075,-0.124
15.500,106.297,40.230,3.179,-0.140,-0.119
-45.485,-98.890,21.865,-2.516,1.322,0.159
-130.860,37.224,8.634,3.300,9.637,-0.355
45.955,76.817,-6.982,0.965,-0.491,0.259
78.501,-119.495,-7.438,-5.211,-3.381,0.193
-86.272,95.195,-16.613,2.751,2.348,0.275
86.618,-59.681,23.919,-1.405,-1.444,-0.300
42.077,-105.477,11.591,-3.231,-2.345,-0.200
-21.266,-64.904,-0.610,0.604,0.266,0.111
92.117,-8.236,-42.440,-0.104,-1.474,0.297
-93.769,66.209,23.701,1.447,2.060,0.190
53.065,-49.102,-20.386,-1.078,-0.634,-0.162
-106.314,96.565,-13.798,4.589,5.849,0.166
-87.209,108.037,-3.895,1.234,2.164,0.118
59.674,116.180,-2.365,2.367,-1.675,-0.063
-99.774,-78.574,-9.759,-3.328,2.813,-0.110
-4.887,-138.934,5.418,-7.761,0.587,0.234
-41.214,115.860,29.162,1.628,1.474,0.186
12.164,30.666,-22.049,0.968,-0.189,0.291
-145.648,-43.674,38.355,-0.583,1.329,0.125
87.654,107.105,-10.947,2.988,-2.871,0.303
-47.910,-29.735,-52.297,-0.095,1.385,0.226
-42.692,135.105,6.592,5.378,0.971,-0.179
-113.416,-3.287,-17.307,0.810,2.025,0.356
70.703,-46.007,14.202,-2.410,-2.724,0.164
26.316,74.333,30.788,1.378,-0.517,-0.036
43.167,127.700,-4.903,4.119,-1.722,0.324
-38.177,-110.433,3.503,-3.772,1.679,-0.139
74.406,22.141,-29.295,0.219,-1.281,0.708
11.361,138.419,35.834,2.296,0.085,0.110
75.146,48.163,26.723,0.695,-1.319,0.041
37.297,92.660,14.301,2.881,0.390,0.083
6.743,-58.739,35.541,-0.677,0.364,0.061
-145.981,-2.262,-7.787,0.530,5.290,-0.494
-134.079,23.443,23.946,1.292,3.025,0.301
117.903,57.159,-36.475,0.918,-3.743,-0.049
10.465,84.082,19.076,1.168,-0.654,0.135
102.377,106.142,-29.713,2.950,-1.926,0.438
-66.022,-113.158,-6.951,-8.136,4.354,0.488
57.905,-104.150,2.847,-2.252,-1.722,-0.512
-118.790,-5.690,-39.571,0.342,2.368,-0.277
11.971,135.567,19.917,4.618,-0.797,-0.115
1.335,-139.203,81.262,-1.099,0.576,-0.329
45.935,118.461,0.619,2.297,-1.432,-0.243
-12.005,114.261,-18.523,1.177,0.198,-0.104
-59.901,-69.477,34.347,-1.016,2.128,0.145
98.957,-112.783,71.265,-2.773,-2.037,-0.249
-93.331,90.394,5.667,6.924,7.103,0.692
-64.192,126.769,-7.490,5.502,2.549,0.008
38.954,9.591,0.552,-0.270,-0.638,0.054
47.803,43.479,-9.843,1.537,-0.822,-0.148
-82.251,-96.379,-27.445,-4.691,3.136,0.210
-63.982,63.645,27.213,-0.138,1.189,-0.028
111.569,-29.614,32.843,-1.087,-1.559,0.515
-58.605,-115.947,10.899,-6.891,3.224,0.235
2.095,-108.285,18.964,-0.067,0.542,-0.124
-9.609,126.342,14.921,7.365,1.306,0.451
-125.995,-17.515,-1.337,-0.380,2.156,0.101
138.471,29.113,-13.765,0.044,-1.013,0.009
80.957,-96.059,7.980,-0.643,-0.430,0.226
-98.906,-15.877,-16.754,-0.452,1.219,-0.272
42.847,-14.380,-3.792,0.594,-1.196,-0.164
-92.089,65.722,-5.240,1.957,1.754,0.455
-1.241,-140.974,34.549,-3.212,0.672,-0.446
53.102,125.027,7.255,3.886,-2.052,-0.301
-74.431,133.753,-101.750,1.806,1.460,-0.117
-114.792,-63.782,-17.167,-1.509,5.432,0.524
-83.841,-98.563,33.193,-2.639,1.788,0.462
24.872,-128.060,19.399,-3.139,-2.206,-0.369
20.779,131.334,0.232,4.736,-0.993,0.255
-96.941,102.593,2.276,4.784,4.297,-0.008
-63.659,-122.064,-5.079,-6.221,2.822,0.058
-124.876,7.390,-20.063,0.389,4.156,0.143
-117.467,-86.288,-14.356,-1.621,3.109,0.540
58.590,117.005,6.188,1.318,-0.703,0.054
13.802,-98.708,14.328,-2.946,-0.470,0.377
10.679,63.214,55.471,1.620,-0.616,-0.053
-98.084,-88.518,-8.220,-2.262,1.820,0.017
7.942,-71.448,50.695,-0.623,-0.013,-0.022
